Record Number,Common Name,Code,Latitude,Longitude,GPS certainty_meters,Locality,Elev_meters,Date,Observer,Breeding Evidence,Observation,Nest Species_Structure,Nest hgt meters,Comments,Sources,Photo,Photo Link,Scientific Name,
106,California Towhee,CALT,34.51204,-119.58412,700,Santa Ynez River between Pendola Sta. and P-Bar Camp,474,18-Jun-1999,"Whitney, K.",Feeding Fledgling,one feeding a fledgling on the ground,,,Los Padres NF Riparian Surveys,Pendola #5 18 June 1999.pdf,,,#REF!,
107,House Wren,HOWR,34.51208,-119.58412,700,Santa Ynez River between Pendola Sta. and P-Bar Camp,474,18-Jun-1999,"Whitney, K.",Carrying Food,seen carrying food,,,Los Padres NF Riparian Surveys,Pendola #5 18 June 1999.pdf,,,#REF!,
108,Western Bluebird,WEBL,34.51363,-119.59159,150,Santa Ynez River below P-Bar Camp,469,18-Jun-1999,"Whitney, K.",Carrying Food,female carrying food below P-Bar Campground,,,Los Padres NF Riparian Surveys,Pendola #5 18 June 1999.pdf,,,#REF!,
109,California Scrub-Jay,CASJ,34.51212,-119.58412,700,Santa Ynez River between Pendola Sta. and P-Bar Camp,474,18-Jun-1999,"Whitney, K.",Carrying Food,active nest (food carries) in live oak,oak,,Los Padres NF Riparian Surveys,Pendola #5 18 June 1999.pdf,,,#REF!,
112,Purple Finch,PUFI,34.51184,-119.58412,700,Santa Ynez River between Pendola Sta. and P-Bar Camp,476,25-Jun-1999,"Holmgren, M.",Fledgling Begging,begging juv,,,Los Padres NF Riparian Surveys,Pendola #6 25 June 1999,,,#REF!,
115,Bell's Vireo,BEVI,34.704,-120.203,500,Mono Creek N of Santa Ynez River,439,27-Jun-1999,"Holmgren, M.",Nest in Use (clarify),"Nest a MC12+ on Mono Creek. No eggs, but adult male present.",,,Los Padres NF Riparian Surveys,Mono-Gibralter 27 June 1999.pdf,,,#REF!,
116,Black Phoebe,BLPH,34.52144,-119.63712,250,Santa Ynez River in E portions of Gibralter Reservoir,444,27-Jun-1999,"Holmgren, M.",Fledgling with Presumed Parent,3 fledglings with half-grown tails at SYR2+,,,Los Padres NF Riparian Surveys,Mono-Gibralter 27 June 1999.pdf,,,#REF!,
117,Common Yellowthroat,COYE,34.52155,-119.63193,1100,Santa Ynez River at E end in Gibralter Reservoir or Mono Creek N of the SYR,445,27-Jun-1999,"Holmgren, M.",Carrying Food,female carrying large wad of food,,,Los Padres NF Riparian Surveys,Mono-Gibralter 27 June 1999.pdf,,,#REF!,
118,Pacific-slope Flycatcher,PSFL,34.52204,-119.63811,500,Santa Ynez River in E portions of Gibralter Reservoir,441,27-Jun-1999,"Holmgren, M.",Feeding Fledgling,ad feeding 2 fledglings with half-grown tails at SYR4,,,Los Padres NF Riparian Surveys,Mono-Gibralter 27 June 1999.pdf,,,#REF!,
119,Yellow Warbler,YEWA,34.52226,-119.64013,500,Santa Ynez River in E portions of Gibralter Reservoir,440,27-Jun-1999,"Holmgren, M.",Fledgling under Parental Care,2 fledglings with barely grown tails with parents although feeding not seen at SYR6,,,Los Padres NF Riparian Surveys,Mono-Gibralter 27 June 1999.pdf,,,#REF!,
120,Semipalmated Plover,SEPL,34.96564,-120.6501,15,Santa Maria River Estuary,5,19-Jul-1999,"Hines, B.","Nestling/Fledgling Dead (photo, please)","""Nest on remnant asphalt pad from oil well, dead chick 18' from nest""",,,"""Video of one egg in nest was recorded by me the morning of 18-July-99""",Specimen UCSB 29727. Semipalmated Plover nesting 19 July 1999.pdf,,,#REF!,
121,Hooded Oriole,HOOR,34.44321,-119.85268,100,"Goleta, Stow House",22,19-Aug-1999,"Compton, D.",Fledgling Begging,"""Juv. begging from adult female in eucs...""",Eucalyptus,,Parking Lot,MSE Nesting Records,,,#REF!,
122,California Towhee,CALT,34.39336,-119.51375,150,"Carpinteria Ck, downstream of Carpinteria Ave",8,27-Aug-1999,"Holmgren, M.",Fledgling with Presumed Parent,"""Juv. with 2 adults, seemed dependent",,,"With Ball, M.",MSE Nesting Records,,,#REF!,
123,House Finch,HOFI,34.3934,-119.51375,150,"Carpinteria Ck, downstream of Carpinteria Ave",8,27-Aug-1999,"Holmgren, M.",Feeding Fledgling,Juvenile being fed/begging,,,"With Ball, M.",MSE Nesting Records,,,#REF!,
124,Western Grebe,WEGR,34.5822,-119.92367,500,"Cachuma Lake, Santa Cruz Bay",235,29-Aug-1999,"Mason, L.",Fledgling with Presumed Parent,"""One chick with parents spotted""",,,,MSE Nesting Records,,,#REF!,
125,California Towhee,CALT,34.43988,-119.8165,25,"Goleta, San Jose Ck",15,5-Sep-1999,"Holmgren, M.",Feeding Fledgling,"Adult feeding juv. that had down still attached to crown, fleshy rictus, bright colored mouth. Gave begging note.",,,"100m S of Hwy 101. With Ball, M., Compton, D.",Goleta Breeding records 5 Sept 1999.pdf,,,#REF!,
126,Lesser Goldfinch,LEGO,34.43158,-119.85848,75,"Goleta, Tecolotito Ck, approx. 100m N of Hollister",6,5-Sep-1999,"Holmgren, M.",Family Group in Close Association,"Several family groups together. Juvs. with wing quiver. Never saw actual feeding, lots of chasing adults.",,,"With Ball, M., Compton, D.",Goleta Breeding records 5 Sept 1999.pdf,,,#REF!,
128,White-tailed Kite,WTKI,34.551,-119.89273,500,"Cachuma Lake, east end",226,26-Feb-2000,"Holmgren, M.",Adult at Nest (clarify),"""...pair of kites...one was performing as sentry by perching in several cottonwood trees that surrounded a bushy willow.  It approached the willow and inside the willow was a kite apparently on a nest. Did not see food being delivered.""",willow,,,MSE Nesting Records,,,#REF!,
129,American Crow,AMCR,34.40651,-119.84533,25,"Goleta, UCSB Campus Lagoon",8,12-Mar-2000,"Kelly, M.",Carrying Nesting Material,A pair carrying nest material into tree in SE corner of lagoon,Eucalyptus,,,MSE Nesting Records,,,#REF!,
130,American Crow,AMCR,34.41676,-119.8448,50,"Goleta, UCSB, Bldg 402, W side",15,12-Mar-2000,"Kelly, M.",Carrying Nesting Material,A single bird carrying nest material into tree,Eucalyptus,,,MSE Nesting Records,,,#REF!,
131,Red-shouldered Hawk,RSHA,34.41599,-119.83961,200,"Goleta, UCSB, S side of east entrance",14,12-Mar-2000,"Kelly, M.",Carrying Nesting Material,"""...taking nest material into a euc...""",Eucalyptus,,,MSE Nesting Records,,,#REF!,
132,Mallard,MALL,34.50033,-119.82528,60,"Santa Ynez Mtns, Windermere",676,18-Apr-2000,"Holmgren, M.",Family Group in Close Association,f and 11 chicks in lower pond,,, pond 60m SE Larson property at 5797 West Camino Cielo,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
133,Great Horned Owl,GHOW,34.42057,-119.85717,75,"Goleta Slough, East Storke Campus Wetland (UCSB)",6,21-Apr-2000,"Holmgren, M.",Adult at Nest (clarify),Occupying old Red-tailed hawk nest,Eucalyptus,,"""...pair of Red-tails is acting territorial but without the fervor and without a nest they can use!""",MSE Nesting Records,,,#REF!,
134,White-tailed Kite,WTKI,34.42139,-119.85439,50,"Goleta, UCSB, Harder Stadium",8,21-Apr-2000,"Holmgren, M.",Nest in Use (clarify),"""The kite was on the nest and the other bird nearby...some food transfer...nestled into nest structure""",,,"With Hubbard, D.  , ""SE side of same tree used in 1999""  ""...did not look like they fed the young...suspect they are at the egg stage""",MSE Nesting Records,,,#REF!,
135,Dark-eyed Junco,DEJU,34.50124,-119.82494,25,"Santa Ynez Mtns, 5797 West Camino Cielo",667,24-Apr-2000,"Holmgren, M.",Carrying Nesting Material,seen twice carrying nesting material at Zone 4B,,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
136,Dark-eyed Junco,DEJU,34.50073,-119.82535,50,"Santa Ynez Mtns, 5797 West Camino Cielo",680,29-Apr-2000,"Holmgren, M.",Feeding Fledgling,"""Adults feeding at least one flying juv. with full tail in oaks...""",,,,MSE Nesting Records,,,#REF!,
137,California Scrub-Jay,CASJ,34.72363,-120.03553,100,"Santa Ynez Valley, Sedgwick Ranch",392,29-Apr-2000,"Holmgren, M.",Egg in Nest,"""Female flushed from nest...3 eggs in nest""",Ceanothus,,"Figuerora Creek, at dam site",MSE Nesting Records,,,#REF!,
138,Dark-eyed Junco,DEJU,34.46264,-119.72937,,"San  Roque Canyon, Jesusita Trail, ~0.5-0.75 mi. up trail from filtration plant",210,30-Apr-2000,"Rothstein, S.",Feeding Fledgling,"""Male Junco feeding 2 or 3 very advanced fledglings...fledglings had long tails...""",,,"""...[fledglings] have probably been out of the nest at least several days to a week or more. The first eggs in the nest must have been laid no later than 5 April (maybe even late March)""",MSE Nesting Records,,,#REF!,
139,Bushtit,BUSH,34.50013,-119.82557,50,"Santa Ynez Mtns, Windermere",684,6-May-2000,"Holmgren, M.",Carrying Food,"adult carrying food small wad, no sound from chicks upon receipt",Coast Live Oak,4.9, near lower pond. dead oak broken and dangling snag,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
140,Acorn Woodpecker,ACWO,34.50054,-119.82552,40,"Santa Ynez Mtns, 5797 West Camino Cielo",683,8-May-2000,"Holmgren, M.",Cavity Nester Attending Cavity,"nest cavity with bird apparently incub. in tree close to (SW of) my house, carrying food seen on 16 May. On 1 June: adult feeding nestlings for one week at least. On 17 June: fledgling is out of nest.  ",Coast Live Oak,,W of Windermere pond near Larson property at ,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
141,Oak Titmouse,OATI,34.50085,-119.82582,200,"Santa Ynez Mtns, 5797 West Camino Cielo",686,8-May-2000,"Holmgren, M.",Carrying Food,carrying large wad of food to W of home,,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
142,Oak Titmouse,OATI,34.5001,-119.82563,70,"Santa Ynez Mtns, 5797 West Camino Cielo",685,8-May-2000,"Holmgren, M.",Nestling in Nest,"Nest 80m W of lower pond . Possibly 3 adults tending nest; large wads carried, chicks vocal.",Coast Live Oak,2,W of Windermere pond near Larson property. In delta between 2 feeder drainages,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
143,Orange-crowned Warbler,OCWA,34.5003,-119.82475,100,"Santa Ynez Mtns, Windermere",679,8-May-2000,"Holmgren, M.",Carrying Nesting Material,"Nest not found after watching both ad carrying food, delivering, sound of chicks",,,on Windermere Ranch near 5797 West Camino Cielo,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
144,Ash-throated Flycatcher,ATFL,34.50071,-119.82491,40,"Santa Ynez Mtns, 5797 West Camino Cielo",668,13-May-2000,"Ball, M.",Cavity Nester Attending Cavity,entering an oak cavity at 2.5 feet in 5A+.,Coast Live Oak,0.83,4 June: 4 eggs in nest,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
145,American Crow,AMCR,34.50006,-119.82576,50,"Santa Ynez Mtns, Windermere",686,16-May-2000,"Holmgren, M.",Carrying Food,crows taking food to nest area which I cannot see at the upstream end of pond 1,,,pond 60m SE Larson property at 5797 West Camino Cielo,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
146,Oak Titmouse,OATI,34.5008,-119.82535,50,"Santa Ynez Mtns, 5797 West Camino Cielo",681,16-May-2000,"Holmgren, M.",Family Group in Close Association,"feeding family group in my trees. On 28 May 2000, MAH sees Oak Titmouse carrying food to 2 begging fledglings.",,,Assumed to be same family gp.,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
147,Dark-eyed Junco,DEJU,34.50052,-119.82492,25,"Santa Ynez Mtns, Windermere",672,19-May-2000,"Holmgren, M.",Fledgling out of Nest--Brancher,"non-flying nestling/fledgling, stub-tailed flushed from ground at trail below Pond #1 on Windemere",,,property near 5797 West Camino Cielo,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
148,Great Blue Heron,GBHE,34.587691,-119.9901862,150,"Santa Ynez River, downstream of Bradbury Dam",181,15-Feb-2000,"Holmgren, M.",Fledgling Begging,"7 birds were on 6 nest structures while 6 additional nest structures were unattended; copulation occurred between two of the birds beside one of the nest structures. On 19 May 2000, Compton counted 4 active nests, with 5 adults present, 1 nestling visible, with begging heard from a different nest",Western Sycamore,5.3,On Crawford Ranch property.,"Cachuma 15 Feb 00.doc and Compton field notes, SYR project for URS",,,#REF!,
149,Orange-crowned Warbler,OCWA,34.50126,-119.82502,25,"Santa Ynez Mtns, 5797 West Camino Cielo",670,19-May-2000,"Holmgren, M.",Egg in Nest,"aggressive adult attending nest with one egg along driveway at Zone 5B. On 4 June, 2 nestlings in nest.",,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
150,Blue-gray Gnatcatcher,BGGN,34.50069,-119.82534,25,"Santa Ynez Mtns, 5797 West Camino Cielo",680,22-May-2000,"Holmgren, M.",Egg in Nest,Western Scrub-Jay extract 2 eggs from the nest of Blue-gray Gnatcatcher in oak just S of patio,,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
151,Dark-eyed Junco,DEJU,34.50061,-119.8249,25,"Santa Ynez Mtns, Windermere",670,28-May-2000,"Holmgren, M.",Carrying Food,carrying big wads of nesting material to lower edge of lower road betw my house and Pond 1,,,property near 5797 West Camino Cielo,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
152,House Finch,HOFI,34.50076,-119.82535,100,"Santa Ynez Mtns, 5797 West Camino Cielo",681,28-May-2000,"Holmgren, M.",Fledgling Begging,House Finch feeding 2 begging juvs,,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
154,Pacific-slope Flycatcher,PSFL,34.5017,-119.82537,20,"Santa Ynez Mtns, 5797 West Camino Cielo",669,28-May-2000,"Holmgren, M.",Nest in Use (clarify),"nest over outside of uphill end of hairpin curve by blue tank, in cut away portion of rotten branch. 4 June 2000: ad still on nest",Coast Live Oak,8,Driveway S of lower hairpin. ,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
155,House Wren,HOWR,34.50287,-119.82523,50,"Santa Ynez Mtns, West Camino Cielo 1.0 rd mi W of Hwy 154",685,4-Jun-2000,"Holmgren, M.",Delivering Food to Nest or Cavity,ad feeding nestl. in cavity next to shed at Jordon Mo house.,Coast Live Oak,3,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
156,California Quail,CAQU,34.50193,-119.82407,250,"Santa Ynez Mtns, 5797 West Camino Cielo",670,6-Jun-2000,"Larson, Arion",Fledgling under Parental Care,Arion reports flock of quail chicks with adults on driveway this morning,,,driveway,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
157,Mourning Dove,MODO,34.67246,-120.49286,50,"Santa Ynez River, Floradale Ave",17,6-Jul-2000,"Greaves, J.",Nestling in Nest,"Female flushed from nest with 1 nestling, 1 egg",willow,2.5,"With Compton, D.","Compton field notes, SYR project for URS",,,#REF!,
158,Pacific-slope Flycatcher,PSFL,34.67198,-120.4931458,300,"Santa Ynez River, Floradale Ave",15,6-Jul-2000,"Greaves, J.",Delivering Food to Nest or Cavity,2 adults at nest; fecal sac carry and food carry witnessed,,,"With Compton, D.","Compton field notes, SYR project for URS",,,#REF!,
159,Wilson's Warbler,WIWA,34.6720104,-120.4931458,300,"Santa Ynez River, Floradale Ave",15,7-Jun-2000,"Compton, D.",Juvenile Independent,Independent juvenile with beginnings of black cap,,,"With Greaves, J.","Compton field notes, SYR project for URS",,,#REF!,
160,House Wren,HOWR,34.50136,-119.82496,25,"Santa Ynez Mtns, 5797 West Camino Cielo",667,8-Jun-2000,"Holmgren, M.",Carrying Food,2 ad taking large food items to cavity.,Coast Live Oak,4.9,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
161,Dark-eyed Junco,DEJU,34.50062,-119.82478,25,"Santa Ynez Mtns, 5797 West Camino Cielo",667,10-Jun-2000,"Labinger, Z.",Carrying Food,Dark-eyed Junco carrying food to nest in Zone 4C to 5A area,,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
162,Hutton's Vireo,HUVI,34.50036,-119.82476,20,"Santa Ynez Mtns, Windermere",678,10-Jun-2000,"Holmgren, M.",Fledgling under Parental Care,Hutton's Vireo fledgling under pc between ponds,,,property near 5797 West Camino Cielo,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
163,Dark-eyed Junco,DEJU,34.50046,-119.82553,50,"Santa Ynez Mtns, Windermere",683,13-Jun-2000,"Holmgren, M.",Adult at Nest (clarify),Dark-eyed Junco  going to nest on far edge of second trail betw house and lower Pond for 2 weeks now.,,,property near 5797 West Camino Cielo. Observed several times between 13 and 27 June. 27 June: it dropped to that spot 3 times.,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
164,Mallard,MALL,34.67204,-120.4931458,300,"Santa Ynez River, Floradale Ave",15,14-Jun-2000,"Compton, D.",Fledgling under Parental Care,Female with 8 chicks,,,,"Compton field notes, SYR project for URS",,,#REF!,
165,Bushtit,BUSH,34.50074,-119.82527,150,"Santa Ynez Mtns, 5797 West Camino Cielo",679,19-Jun-2000,"Holmgren, M.",Feeding Fledgling,"Bushtit young clustered, fam being fed by adults.",,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
166,House Wren,HOWR,34.50016,-119.82531,,"Santa Ynez Mtns, Windermere",684,19-Jun-2000,"Holmgren, M.",Fledgling with Presumed Parent,House Wren fam just out of nest on Windemere S of Pond 1 (Lower pond).,,, property near 5797 West Camino Cielo,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
167,Blue-gray Gnatcatcher,BGGN,34.50086,-119.82535,15,"Santa Ynez Mtns, 5797 West Camino Cielo",682,25-Jun-2000,"Holmgren, M.",Nestling in Nest,nestl being fed by both ad. On 27 June: nest still going. 29 June: nestl fledged and out and about.,,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
168,Orange-crowned Warbler,OCWA,34.50064,-119.82553,10,"Santa Ynez Mtns, 5797 West Camino Cielo",684,27-Jun-2000,"Holmgren, M.",Carrying Food,"carrying food large to mugwort outside kitchen window, I lost it from there.",,,,Holmgren's Natural History Notes 22 Apr 2011.doc.,,,#REF!,
169,Western Bluebird,WEBL,34.42143,-119.85439,50,"Goleta, UCSB, Harder Stadium",8,2-Jul-2000,"O'Loghlen, A.",Fledgling under Parental Care,"""Three fledglings""",,,,MSE Nesting Records,,,#REF!,
170,Purple Martin,PUMA,34.53384,-120.17678,500,Nojoqui Falls County Park,220,7-Mar-2000,"Sanchez, F.",Delivering Food to Nest or Cavity,""" ...feeding young in a nest hole in a sycamore...""",,,,MSE Nesting Records,,,#REF!,
171,Violet-green Swallow,VGSW,34.53387,-120.17678,600,Nojoqui Falls County Park,220,7-Mar-2000,"Sanchez, F.",Fledgling under Parental Care,"""...lots of tiny, just-fledged VG swallows everywhere""",,,,MSE Nesting Records,,,#REF!,
172,Brown-headed Cowbird,BHCO,34.6160655,-120.21294,400,"Santa Ynez River, Buellton",95,6-Jul-2000,"Gallo, J.",Host - Brood Parasite Interaction,Adult Common Yellowthroat feeding juvenile Brown-headed Cowbird,,,at Willow Flycatcher site. Also see this record 173 under COYE,"Compton field notes, SYR project for URS",,,#REF!,
173,Common Yellowthroat,COYE,34.6160655,-120.212976,400,"Santa Ynez River, Buellton",95,6-Jul-2000,"Gallo, J.",Feeding Fledgling,Adult feeding juvenile Brown-headed Cowbird,,,at Willow Flycatcher site. Also see this record 172 under BHCO,"Compton field notes, SYR project for URS",,,#REF!,
174,Willow Flycatcher,WIFL,34.704,-120.203,5000,Santa Ynez River,,6-Jul-2000,"Gallo, J.",Fledgling under Parental Care,"Juvenile (""crisp feather edges, and inexperienced in flight"") in company of 1 adult",,,Willow Flycatcher site,,,,#REF!,
175,Willow Flycatcher,WIFL,34.704,-120.203,5000,Santa Ynez River,,6-Jul-2000,"Gallo, J.",Feeding Fledgling,Adult feeding juvenile,,,Willow Flycatcher site,,,,#REF!,
176,Willow Flycatcher,WIFL,34.704,-120.203,5000,Santa Ynez River,,6-Jul-2000,"Gallo, J.",Fledgling under Parental Care,juvenile in the company of at least one adult,,,Willow Flycatcher site,,,,#REF!,
177,Yellow Warbler,YEWA,34.6160655,-120.213,400,"Santa Ynez River, Buellton",95,6-Jul-2000,"Gallo, J.",Feeding Fledgling,Adult feeding juvenile,,,at Willow Flycatcher site,"Compton field notes, SYR project for URS",,,#REF!,
178,Brown-headed Cowbird,BHCO,34.60633,-120.30196,1000,Santa Ynez River nr Santa Rosa Park,72,7-Jul-2000,"Whitney, K.",Host - Brood Parasite Interaction,Song Sparrow nest with Brown-headed Cowbird nestling,,,See also SOSP entry,"Compton field notes, SYR project for URS",,,#REF!,
